,Path,Label
7597,PetImages/Cat/5586.jpg,Cat
1118,PetImages/Dog/11002.jpg,Dog
12138,PetImages/Dog/9673.jpg,Dog
2828,PetImages/Cat/1293.jpg,Cat
4089,PetImages/Cat/2428.jpg,Cat
12352,PetImages/Dog/9866.jpg,Dog
12384,PetImages/Dog/9895.jpg,Dog
1091,PetImages/Dog/1098.jpg,Dog
7750,PetImages/Cat/5723.jpg,Cat
10377,PetImages/Dog/8088.jpg,Dog
1884,PetImages/Cat/11693.jpg,Cat
7862,PetImages/Cat/5824.jpg,Cat
4687,PetImages/Cat/2967.jpg,Cat
5355,PetImages/Cat/3568.jpg,Cat
9388,PetImages/Cat/7198.jpg,Cat
8512,PetImages/Cat/6409.jpg,Cat
863,PetImages/Dog/10774.jpg,Dog
9563,PetImages/Cat/7355.jpg,Cat
6368,PetImages/Dog/448.jpg,Dog
406,PetImages/Dog/10362.jpg,Dog
4911,PetImages/Dog/3168.jpg,Dog
11965,PetImages/Cat/9517.jpg,Cat
9295,PetImages/Dog/7113.jpg,Dog
5412,PetImages/Cat/3619.jpg,Cat
7694,PetImages/Cat/5673.jpg,Cat
11294,PetImages/Cat/8913.jpg,Cat
6409,PetImages/Dog/4516.jpg,Dog
5055,PetImages/Cat/3298.jpg,Cat
7840,PetImages/Dog/5804.jpg,Dog
9115,PetImages/Dog/6952.jpg,Dog
1743,PetImages/Cat/11566.jpg,Cat
11665,PetImages/Dog/9247.jpg,Dog
12418,PetImages/Cat/9925.jpg,Cat
10785,PetImages/Cat/8455.jpg,Cat
4846,PetImages/Dog/3109.jpg,Dog
3594,PetImages/Cat/1983.jpg,Cat
11544,PetImages/Dog/9138.jpg,Dog
1765,PetImages/Dog/11586.jpg,Dog
6190,PetImages/Dog/4319.jpg,Dog
1570,PetImages/Dog/1141.jpg,Dog
7637,PetImages/Dog/5621.jpg,Dog
2662,PetImages/Dog/12393.jpg,Dog
1534,PetImages/Cat/11378.jpg,Cat
4174,PetImages/Cat/2504.jpg,Cat
