,Path,Label
11630,PetImages/Cat/9215.jpg,Cat
5299,PetImages/Dog/3517.jpg,Dog
11101,PetImages/Dog/874.jpg,Dog
1,PetImages/Cat/1.jpg,Cat
7772,PetImages/Cat/5743.jpg,Cat
1494,PetImages/Dog/11341.jpg,Dog
183,PetImages/Dog/10161.jpg,Dog
371,PetImages/Dog/10330.jpg,Dog
5549,PetImages/Cat/3742.jpg,Cat
10354,PetImages/Dog/8067.jpg,Dog
12271,PetImages/Cat/9793.jpg,Cat
6858,PetImages/Cat/4920.jpg,Cat
11206,PetImages/Cat/8834.jpg,Cat
11526,PetImages/Cat/9121.jpg,Cat
7871,PetImages/Cat/5832.jpg,Cat
8819,PetImages/Cat/6686.jpg,Cat
7713,PetImages/Dog/5690.jpg,Dog
966,PetImages/Cat/10867.jpg,Cat
936,PetImages/Dog/1084.jpg,Dog
8430,PetImages/Dog/6335.jpg,Dog
1520,PetImages/Dog/11365.jpg,Dog
1169,PetImages/Cat/11049.jpg,Cat
7875,PetImages/Dog/5836.jpg,Dog
9786,PetImages/Cat/7556.jpg,Cat
1600,PetImages/Cat/11437.jpg,Cat
3973,PetImages/Cat/2323.jpg,Cat
4223,PetImages/Dog/2549.jpg,Dog
5492,PetImages/Cat/3691.jpg,Cat
9646,PetImages/Dog/743.jpg,Dog
4073,PetImages/Dog/2413.jpg,Dog
6624,PetImages/Cat/471.jpg,Cat
10101,PetImages/Dog/784.jpg,Dog
2937,PetImages/Cat/1391.jpg,Cat
7966,PetImages/Cat/5918.jpg,Cat
12121,PetImages/Dog/9658.jpg,Dog
12215,PetImages/Cat/9742.jpg,Cat
8321,PetImages/Dog/6237.jpg,Dog
1934,PetImages/Dog/11738.jpg,Dog
2723,PetImages/Dog/12448.jpg,Dog
9862,PetImages/Dog/7624.jpg,Dog
11656,PetImages/Dog/9239.jpg,Dog
8795,PetImages/Dog/6664.jpg,Dog
12168,PetImages/Cat/970.jpg,Cat
5751,PetImages/Cat/3924.jpg,Cat
7362,PetImages/Cat/5374.jpg,Cat
9422,PetImages/Dog/7228.jpg,Dog
10758,PetImages/Cat/8430.jpg,Cat
4999,PetImages/Dog/3247.jpg,Dog
5173,PetImages/Cat/3403.jpg,Cat
2886,PetImages/Dog/1345.jpg,Dog
6714,PetImages/Cat/4791.jpg,Cat
8183,PetImages/Dog/6112.jpg,Dog
6675,PetImages/Dog/4756.jpg,Dog
10806,PetImages/Dog/8474.jpg,Dog
7963,PetImages/Dog/5915.jpg,Dog
6081,PetImages/Cat/4220.jpg,Cat
12007,PetImages/Dog/9555.jpg,Dog
8890,PetImages/Cat/675.jpg,Cat
10070,PetImages/Dog/7811.jpg,Dog
8942,PetImages/Dog/6797.jpg,Dog
9061,PetImages/Cat/6903.jpg,Cat
7088,PetImages/Dog/5127.jpg,Dog
5896,PetImages/Cat/4054.jpg,Cat
10032,PetImages/Dog/7778.jpg,Dog
6558,PetImages/Dog/4650.jpg,Dog
3196,PetImages/Dog/1624.jpg,Dog
5796,PetImages/Cat/3965.jpg,Cat
8709,PetImages/Cat/6587.jpg,Cat
571,PetImages/Dog/10510.jpg,Dog
1539,PetImages/Dog/11382.jpg,Dog
11085,PetImages/Cat/8725.jpg,Cat
5960,PetImages/Cat/4111.jpg,Cat
12250,PetImages/Dog/9774.jpg,Dog
6826,PetImages/Cat/4892.jpg,Cat
4642,PetImages/Dog/2926.jpg,Dog
9624,PetImages/Dog/741.jpg,Dog
4361,PetImages/Cat/2673.jpg,Cat
7760,PetImages/Cat/5732.jpg,Cat
4508,PetImages/Cat/2805.jpg,Cat
9803,PetImages/Dog/7571.jpg,Dog
3688,PetImages/Cat/2067.jpg,Cat
9073,PetImages/Cat/6914.jpg,Cat
12447,PetImages/Cat/9951.jpg,Cat
363,PetImages/Cat/10323.jpg,Cat
3584,PetImages/Cat/1974.jpg,Cat
10172,PetImages/Dog/7903.jpg,Dog
3179,PetImages/Dog/1609.jpg,Dog
9926,PetImages/Cat/7682.jpg,Cat
